YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2016,7,"45,149","21,000",toyota
2014,10,"115,148","8,488",craiglist
2007,17,"122,308",6300,craiglist
2016,8,80973,23899,carguru
2013,11,98580,"9,000",carguru
2007,17,85002,9299,carguru
2023,1,8433,23481,carguru
