YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2004,20,211886,8500,autotrader
2005,19,119250 ,14995,autotrader
2007,17,130186,8998,carguru
2009,15,104310,12995,carguru
2012,12,153007,12419,carguru
2010,14,61369,17995,carguru
2006,18,146000,8573,carguru
2014,10,108298,18334,carguru
2015,9,91869,19799,carguru
2016,8,70142,30998,carguru
2017,7,67946,26967,carguru
2018,6,85534,19749,carguru
2020,4,34416,28897,carguru
2022,2,55810,37444,carguru
2023,1,7764,42619,carguru
